"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type","alt#"
"1","Heatsink","Heatsink","BOM101,BOM102","1x4 screw plug","~","2"," ","https://www.lcsc.com/datasheet/C7603442.pdf","C7603442","E+",""
"2","Unpolarized capacitor","C","C303,C304,C422,C423","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","4"," ","~","C32949","B+",""
"3","Unpolarized capacitor","C","C209","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","~","C1790","B+",""
"4","Unpolarized capacitor","C","C408,C409","6n8","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","2"," ","~","C1631","B+",""
"5","Unpolarized capacitor","C","C101,C102,C103,C104,C301,C302,C306,C307,C308,C309,C310,C311,C407,C410,C412,C413,C414,C416,C417,C418,C419,C420,C501,C502,C601,C602","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","26"," ","~","C1525","B+",""
"6","Unpolarized capacitor","C","C415","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1"," ","~","C23733","B+",""
"7","Unpolarized capacitor","C","C205,C208","100n/50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2"," ","~","C307331","B+",""
"8","Unpolarized capacitor","C","C201,C202,C203,C204,C206,C207,C210","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7"," ","~","C440198","B+",""
"9","Unpolarized capacitor","C","C411,C421","10u/6v3","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2"," ","~","C15525","B+",""
"10","Unpolarized capacitor","C","C404","1n/2kv","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1"," ","~","C9196","B+",""
"11","Unpolarized capacitor","C","C401,C402,C403,C406","22n/100v","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","4"," ","~","C22374871","E+",""
"12","Unpolarized capacitor","C","C211,C305","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","~","C45783","B+",""
"13","Unpolarized capacitor","C","C212,C213","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","~","C16780","B+",""
"14","Unpolarized capacitor","C","C405","4n7/2kv","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1"," ","~","C41017","E+",""
"15","Zener diode","D_Zener","D203","6V8","D_SOD-323_HandSoldering","1"," ","https://www.lcsc.com/datasheet/C123062.pdf","C123062","E+",""
"16","Schottky diode","D_Schottky","D106,D201,D204,D206,D501,D502","B5819WS","D_SOD-323_HandSoldering","6"," ","https://www.lcsc.com/datasheet/C8598.pdf","C8598","B+",""
"17","Light emitting diode","LED","D205","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/C2297.pdf","C2297","B+",""
"18","Light emitting diode","LED","D101,D102,D103,D104,D105","RED","LED_1206_3216Metric_ReverseMount","5"," ","https://www.lcsc.com/datasheet/C5356080.pdf","C5356080","E+",""
"19","Schottky diode","D_Schottky","D202","SS34","D_SMA","1"," ","https://www.lcsc.com/datasheet/C8678.pdf","C8678","B+",""
"20","Resettable fuse, polymeric positive temperature coefficient","Polyfuse","F201","250mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/C22378353.pdf","C22378353","E+",""
"21","Ferrite bead, small symbol","FerriteBead_Small","FB401","600R@100MHz","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1"," ","~","C1017","B+",""
"22","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x03","J201,J202,J203","5V","PinHeader_1x03_P2.54mm_Vertical","3"," ","~","","-",""
"23","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Screw_Terminal_01x04","J101,J111","BUS","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","2"," ","https://www.lcsc.com/datasheet/C880556.pdf","C880556","E+",""
