"Quantity","LCSC Part Number","Value","Footprint","References"
"2","C7603442","1x4 screw plug","~","BOM101,BOM102"
"4","C32949","10p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C303,C304,C422,C423"
"1","C1790","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C209"
"2","C1631","6n8","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C408,C409"
"26","C1525","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C101,C102,C103,C104,C301,C302,C306,C307,C308,C309,C310,C311,C407,C410,C412,C413,C414,C416,C417,C418,C419,C420,C501,C502,C601,C602"
"1","C23733","4u7","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C415"
"2","C307331","100n/50V","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C205,C208"
"7","C440198","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C201,C202,C203,C204,C206,C207,C210"
"2","C15525","10u/6v3","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C411,C421"
"1","C9196","1n/2kv","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C404"
"4","C22374871","22n/100v","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C401,C402,C403,C406"
"2","C45783","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C211,C305"
"2","C16780","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C212,C213"
"1","C41017","4n7/2kv","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C405"
"1","C123062","6V8","D_SOD-323_HandSoldering","D203"
"6","C8598","B5819WS","D_SOD-323_HandSoldering","D106,D201,D204,D206,D501,D502"
"1","C2297","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","D205"
"5","C5356080","RED","LED_1206_3216Metric_ReverseMount","D101,D102,D103,D104,D105"
"1","C8678","SS34","D_SMA","D202"
"1","C22378353","250mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","F201"
"1","C1017","600R@100MHz","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","FB401"
"1","C30182781","thread","post_m3x12.5mm","H101"
"2","C880556","BUS","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","J101,J111"
"2","C11075","FFC","AFC11-S24ICC-00","J104,J106"
"1","C3975151","Mid","PinSocket_2x06_P2.54mm_Vertical_SMD","J108"
"1","C7205199","RJ45_Shielded","RJ45_FG_RJ-064-1","J401"
"1","C5160780","Top","PinHeader_2x06_P2.54mm_Vertical_SMD","J107"
"1","C22383836","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7082G","J110"
"1","C51940129","qwiic","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","J103"
"2","C5832373","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","L201,L202"
"1","C7467248","10m","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","R106"
"3","C127687","0R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R206,R211,R212"
"2","C25077","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R602,R603"
"2","C25092","22R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R305,R306"
"4","C25105","33R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R412,R413,R414,R415"
"4","C25120","49R9","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R405,R406,R407,R408"
"4","C25133","75R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R401,R402,R403,R404"
"8","C17437","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R503,R504,R505,R506,R606,R607,R608,R609"
"14","C25900","4k7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R101,R102,R103,R104,R105,R301,R302,R303,R304,R307,R410,R501,R502,R601"
"4","C17673","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R207,R208,R209,R210"
"3","C17414","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R201,R203,R205"
"2","C25744","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R604,R605"
"2","C11692","12k4","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R409,R411"
"1","C25792","47k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R202"
"2","C17470","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R204,R308"
"1","C26083","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","R416"
"2","C2885154","15mm","SW_SPST_15","SW101,SW102"
"1","C42418465","CND-tek-H1102N","Transformer_Ethernet_SO-16_7.11x12.7mm","TR401"
"1","C18723540","24C02S","SOT-23-5","U102"
"1","C5380094","DP9700AT-24","DP9700AT","U201"
"1","C49851","INA226","VSSOP-10_3x3mm_P0.5mm","U105"
"1","C5446","JTD6206-3.3V","SOT-23","U203"
"1","C18347","MAX13487E","SOIC-8_3.9x4.9mm_P1.27mm","U601"
"1","C2932938","ME3121AM6G","SOT-23-6","U202"
"2","C99269","TMP102","SOT-563","U101,U104"
"1","C2687116","USBLC6-2SC6","SOT-23-6","U103"
"1","C32843","W5500","LQFP-48_7x7mm_P0.5mm","U401"
"1","C609746","XL1050","SOIC-8_3.9x4.9mm_P1.27mm","U501"
"1","C2858491","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm","U301"
"1","C7301943","25MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm","Y401"
"1","C20885029","40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm","Y301"
