Designator,Mid X,Mid Y,Layer,Rotation
"C101",57.000,82.000,top,0.000
"C102",20.500,30.000,top,0.000
"C103",27.000,8.500,top,270.000
"C104",26.000,8.500,top,270.000
"C201",46.500,49.500,top,90.000
"C202",44.500,49.500,top,90.000
"C203",42.500,49.500,top,90.000
"C204",40.500,49.500,top,90.000
"C205",38.350,48.050,top,180.000
"C206",41.500,61.500,top,180.000
"C207",41.500,54.500,top,0.000
"C208",33.410,47.200,top,90.000
"C209",42.000,41.300,top,270.000
"C210",38.000,41.300,top,90.000
"C211",42.000,37.000,top,270.000
"C212",36.000,37.000,top,90.000
"C213",38.000,33.000,top,90.000
"C301",53.500,51.000,top,0.000
"C302",62.500,51.000,top,180.000
"C303",58.000,59.500,top,90.000
"C304",56.000,57.700,top,180.000
"C305",53.500,59.000,top,270.000
"C306",62.500,53.000,top,0.000
"C307",56.500,49.500,top,225.000
"C308",53.500,55.500,top,180.000
"C309",53.500,56.500,top,180.000
"C310",62.500,54.000,top,0.000
"C311",51.000,56.500,top,0.000
"C401",48.000,21.000,top,90.000
"C402",48.000,17.500,top,90.000
"C403",48.000,24.500,top,90.000
"C404",45.500,11.500,top,270.000
"C405",45.500,6.500,top,270.000
"C406",48.000,28.000,top,90.000
"C407",62.500,31.000,top,0.000
"C408",59.000,30.000,top,0.000
"C409",52.000,30.500,top,0.000
"C410",55.500,30.500,top,90.000
"C411",63.000,36.500,top,0.000
"C412",54.500,33.000,top,270.000
"C413",57.500,33.000,top,270.000
"C414",59.500,33.000,top,270.000
"C415",63.000,39.500,top,0.000
"C416",63.000,37.500,top,0.000
"C417",63.000,41.500,top,0.000
"C418",63.000,38.500,top,0.000
"C419",63.000,40.500,top,0.000
"C420",60.000,45.500,top,0.000
"C421",63.000,46.500,top,180.000
"C422",57.500,46.500,top,180.000
"C423",60.000,46.500,top,0.000
"C501",58.500,61.500,top,180.000
"C502",59.000,82.500,top,90.000
"C601",40.680,22.420,top,270.000
"C602",37.400,14.000,top,180.000
"D101",5.000,47.500,top,0.000
"D102",10.000,47.500,top,0.000
"D103",15.000,47.500,top,0.000
"D104",25.000,47.500,top,0.000
"D105",20.000,47.500,top,0.000
"D106",13.000,26.500,top,180.000
"D201",44.500,55.000,top,90.000
"D202",41.500,66.500,top,270.000
"D203",46.500,55.000,top,90.000
"D204",37.500,76.500,top,90.000
"D205",37.500,80.500,top,90.000
"D206",41.500,71.000,top,180.000
"D501",55.610,63.000,top,90.000
"D502",53.610,63.000,top,90.000
"F201",36.500,73.500,top,180.000
"FB401",63.000,44.000,top,90.000
"H101",12.500,66.000,top,0.000
"J103",37.500,3.000,top,0.000
"J104",53.500,72.000,top,180.000
"J106",15.000,83.500,top,180.000
"J107",8.500,53.500,top,90.000
"J108",8.500,32.500,top,90.000
"J110",4.500,21.000,top,90.000
"J401",55.000,12.700,top,0.000
"L201",41.500,58.000,top,270.000
"L202",35.300,46.300,top,270.000
"R101",2.000,47.500,top,90.000
"R102",17.500,50.500,top,90.000
"R103",19.500,50.500,top,90.000
"R104",1.000,22.500,top,270.000
"R105",1.000,20.000,top,270.000
"R106",23.000,11.000,top,0.000
"R201",41.500,52.500,top,180.000
"R202",44.600,52.400,top,0.000
"R203",43.500,45.500,top,270.000
"R204",40.000,41.300,top,270.000
"R205",41.300,45.500,top,90.000
"R206",36.000,41.300,top,90.000
"R207",46.500,74.900,top,0.000
"R208",41.500,74.000,top,270.000
"R209",43.500,74.000,top,270.000
"R210",39.500,74.000,top,270.000
"R211",49.500,67.000,top,90.000
"R212",36.000,33.000,top,90.000
"R301",53.500,53.000,top,0.000
"R302",62.500,50.000,top,180.000
"R303",62.500,52.000,top,180.000
"R304",53.500,52.000,top,180.000
"R305",63.000,59.500,top,270.000
"R306",62.000,59.500,top,270.000
"R307",51.000,55.500,top,180.000
"R308",47.500,60.500,top,90.000
"R401",50.000,21.000,top,90.000
"R402",50.000,18.000,top,90.000
"R403",50.000,24.000,top,90.000
"R404",50.000,27.000,top,90.000
"R405",62.500,29.500,top,180.000
"R406",62.500,32.000,top,180.000
"R407",56.500,30.500,top,90.000
"R408",54.500,30.500,top,90.000
"R409",58.500,33.000,top,90.000
"R410",63.000,48.480,top,0.000
"R411",63.000,47.480,top,180.000
"R412",52.500,33.000,top,90.000
"R413",53.500,33.000,top,90.000
"R414",55.500,33.000,top,90.000
"R415",56.500,33.000,top,90.000
"R416",57.500,45.500,top,0.000
"R501",61.000,61.500,top,0.000
"R502",54.500,66.500,top,270.000
"R503",61.500,78.500,top,180.000
"R504",61.500,84.500,top,0.000
"R505",61.500,80.500,top,180.000
"R506",61.500,82.500,top,0.000
"R601",40.680,26.420,top,90.000
"R602",38.680,19.420,top,180.000
"R603",36.180,19.420,top,0.000
"R604",40.680,19.920,top,270.000
"R605",34.180,19.920,top,90.000
"R606",39.400,17.500,top,180.000
"R607",35.400,15.500,top,180.000
"R608",39.400,15.500,top,180.000
"R609",35.400,17.500,top,180.000
"SW101",4.500,8.000,top,270.000
"SW102",12.000,8.000,top,270.000
"TR401",57.500,23.500,top,270.000
"U101",57.000,80.000,top,180.000
"U102",20.000,32.500,top,180.000
"U103",9.000,25.500,top,270.000
"U104",27.000,11.000,top,270.000
"U105",23.500,6.500,top,0.000
"U202",38.500,45.500,top,270.000
"U203",39.000,37.000,top,180.000
"U301",58.000,54.000,top,270.000
"U401",56.500,39.500,top,0.000
"U501",59.500,66.000,top,0.000
"U601",37.400,24.000,top,180.000
"Y301",56.000,59.500,top,180.000
"Y401",60.000,48.500,top,270.000
